"(new)","(جديد)"
"Cheque Leaf {0} is not Reserved (currently: {1}).","ورقة الشيك {0} ليست محجوزة (حالتها الآن: {1})."
"Cheque Leaf {0} is reserved for {1}, not {2}.","ورقة الشيك {0} محجوزة للشيك {1}، وليس {2}."
"Cheque Maturity Ladder","سلم استحقاق الشيكات"
"Cheque No","رقم الشيك"
"Cheque No differs: Cheque {0} is {1}, Payment Entry reference is {2}.","اختلاف في رقم الشيك: الشيك {0} رقمه {1}، ورقم المرجع في قيد السداد {2}."
"Cheque No for Outgoing cheques is system-controlled (expected {0}, got {1}).","رقم الشيك في الشيكات الصادرة يحدده النظام (المتوقع {0}، والمُدخل {1})."
"Cheque No, Issue Date, and Due Date are required.","رقم الشيك وتاريخ الإصدار وتاريخ الاستحقاق مطلوبة."
"Cheque Sequence","تسلسل أرقام الشيكات"
"Cheque Tracker","متابعة الشيكات"
"Cheque Tracker Settings","إعدادات متابعة الشيكات"
"Cheque Type","نوع الشيك"
"Cheque does not match its Payment Entry","الشيك لا يطابق قيد السداد المرتبط به"
"Cheque must be submitted to be replaced.","يجب ترحيل الشيك قبل استبداله."
"Cheque {0} already records cheque number {1} on {2} ({3}, currently {4}). Cancel that record first if this is a correction.","الشيك {0} مسجَّل بالفعل برقم الشيك {1} على {2} ({3}، وحالته الآن {4}). ألغِ ذلك السجل أولًا إن كان هذا تصحيحًا."
"Cheque {0} cleared on {1}. Its Payment Entry {2} is still a draft and could not be submitted automatically — {3} lacks the required approval role. Submit {2} to post the collection.","تم تحصيل الشيك {0} بتاريخ {1}. وقيد السداد {2} ما زال مسودة ولم يُرحَّل تلقائيًا — لأن {3} لا يملك دور الاعتماد المطلوب. رحِّل {2} لتسجيل التحصيل."
"Cheque {0} cleared with no linked Payment Entry, so nothing was posted to the ledger. Record the collection separately.","تم تحصيل الشيك {0} دون قيد سداد مرتبط، ولذلك لم يُرحَّل شيء إلى الدفاتر. سجِّل التحصيل بشكل منفصل."
"Cheque {0} has already been replaced by {1}.","الشيك {0} استُبدل بالفعل بالشيك {1}."
"Cheque {0} is already marked as a replacement for {1}.","الشيك {0} مسجَّل بالفعل كبديل للشيك {1}."
"Cheque {0} is listed more than once.","الشيك {0} مُدرج أكثر من مرة."
"Cheques","الشيكات"
"Cheques Due This Week","الشيكات المستحقة هذا الأسبوع"
"Cheques due within this many days are included in the daily digest.","تُدرَج الشيكات المستحقة خلال هذا العدد من الأيام في الملخص اليومي."
"Cheques in Custody","الشيكات في العهدة"
"Clearance JE","قيد اليومية للتحصيل"
"Clearance Type","طريقة التحصيل"
"Cleared Date","تاريخ التحصيل"
"Comma or newline separated recipients for the daily cheque digest.","المستلمون للملخص اليومي للشيكات، مفصولين بفاصلة أو بسطر جديد."
"Company, Party, and Amount are required before moving to {0}.","الشركة والطرف والمبلغ مطلوبة قبل الانتقال إلى حالة {0}."
"Concurrent reservation conflict on Cheque Book {0}. Please retry.","تعارض في الحجز المتزامن على دفتر الشيكات {0}. من فضلك أعد المحاولة."
"Confirm Clearing","تأكيد التحصيل"
"Confirm: ","تأكيد: "
"Cumulative Net","الصافي التراكمي"
"Current Holder","الحائز الحالي"
"Custody Location","مكان العهدة"
"Dates & Custody","التواريخ والعهدة"
"Default Bank Account (Bank Account)","الحساب البنكي الافتراضي"
"Default Bank GL Account","حساب البنك الافتراضي بدفتر الأستاذ"
"Default GL Cash account used when cashing cheques at teller. Can be overridden per cheque.","حساب النقدية الافتراضي بدفتر الأستاذ المستخدم عند صرف الشيكات من الشباك. ويمكن تغييره لكل شيك."
"Default bank GL account (Account) used for the clearance Journal Entry debit side.","حساب البنك الافتراضي بدفتر الأستاذ المستخدم في الجانب المدين من قيد يومية التحصيل."
"Default bank account used for cheque clearance (optional, can be overridden per cheque).","الحساب البنكي الافتراضي المستخدم في تحصيل الشيكات (اختياري، ويمكن تغييره لكل شيك)."
"Defaults to original amount; change if replacement differs.","يأخذ مبلغ الشيك الأصلي افتراضيًا؛ غيّره إذا اختلف مبلغ الشيك البديل."
"Deposit: cheque goes through bank deposit flow. Cash: cheque cashed at teller window.","إيداع: يمر الشيك بدورة الإيداع البنكي. نقدي: يُصرف الشيك من شباك الصراف."
"Deposited","مودع"
"Deposited Not Cleared","مودعة ولم تُحصَّل"
"Digits Count (zero-pad)","عدد الخانات (استكمال بالأصفار)"
"Draft Cheque {0} created for this Payment Entry.","تم إنشاء الشيك {0} كمسودة لقيد السداد هذا."
"Drawee Bank","البنك المسحوب عليه"
"Drawee Bank is required for Incoming cheques.","البنك المسحوب عليه مطلوب للشيكات الواردة."
"Drawer Name","اسم الساحب"
"Duplicate cheque","شيك مكرر"
"End Cheque No","رقم آخر شيك"
"End Cheque No must be greater than or equal to Start Cheque No.","يجب أن يكون رقم آخر شيك أكبر من أو مساويًا لرقم أول شيك."
"Endorse","تظهير"
"Endorsed","مُظهَّر"
"Endorsed To","مُظهَّر إلى"
"Endorsed To (Name)","مُظهَّر إلى (الاسم)"
"Endorsed To (Name) is required when the counterparty is 'Other'.","حقل «مُظهَّر إلى (الاسم)» مطلوب عندما يكون الطرف المقابل «أخرى»."
"Endorsed To Party Type","نوع الطرف المُظهَّر إليه"
"Endorsed To Party Type is required to endorse a cheque.","نوع الطرف المُظهَّر إليه مطلوب لتظهير الشيك."
"Endorsed To is required to endorse a cheque.","حقل «مُظهَّر إلى» مطلوب لتظهير الشيك."
"Endorsement (تظهير)","التظهير"
"Endorsement Date","تاريخ التظهير"
"Endorsement Date is required.","تاريخ التظهير مطلوب."
"Endorsement Payment Entry","قيد سداد التظهير"
"Endorsement Payment Entry {0} is for {1}, but this cheque is {2}.","قيد سداد التظهير {0} بمبلغ {1}، بينما هذا الشيك بمبلغ {2}."
"Event Datetime","تاريخ ووقت الحدث"
"Event Timeline","سجل الأحداث"
"Exhausted","مستنفد"
"Existing Draft Cheque","شيك مسودة قائم"
"External Holder","حائز خارجي"
"Filtered to drafts with same type, party, and reference.","مُرشَّح على المسودات ذات نفس النوع والطرف والمرجع."
"Financial Posting","الترحيل المالي"
"For Numeric sequence, Start and End Cheque No must be integers.","في التسلسل الرقمي، يجب أن يكون رقم أول شيك ورقم آخر شيك أعدادًا صحيحة."
"Free text for counterparties that are not a Supplier or Employee record.","نص حر للأطراف المقابلة التي ليس لها سجل مورد أو موظف."
"From Holder","من الحائز"
"GL Cash/Petty Cash account to debit when cashing at teller.","حساب النقدية/النثرية بدفتر الأستاذ الذي يُجعل مدينًا عند الصرف من الشباك."
"GL Posting Model","نموذج الترحيل لدفتر الأستاذ"
"Hand Over","تسليم"
"Hand Over Cheque","تسليم الشيك"
"Handed Over","مُسلَّم"
"Holder","حائز العهدة"
"Holder Type","نوع الحائز"
"In Custody Since","في العهدة منذ"
"In Safe","في الخزينة"
"Incoming #","عدد الشيكات الواردة"
"Insufficient Funds","عدم كفاية الرصيد"
"Insufficient role for cheque transition","صلاحية غير كافية لتغيير حالة الشيك"
"Issued Leaves","أوراق مُصدرة"
"Issued On","تاريخ الإصدار الفعلي"
"Leaf Status","حالة الورقة"
"Mark Cheque as Cleared","تعليم الشيك كمحصل"
"Move to Safe","نقل إلى الخزينة"
"Net","الصافي"
"New Cheque Details","بيانات الشيك الجديد"
"New Cheque No","رقم الشيك الجديد"
"No Cheque was created for {0} yet — still missing: {1}.","لم يُنشأ شيك لقيد السداد {0} حتى الآن — الناقص: {1}."
"No accounting entry","لا يوجد قيد محاسبي"
"No leaf reserved. Save the cheque first to reserve a leaf.","لم تُحجز أي ورقة. احفظ الشيك أولًا ليتم حجز ورقة له."
"No unused cheque leaves available in Cheque Book {0}.","لا توجد أوراق شيكات غير مستخدمة في دفتر الشيكات {0}."
"Note: replacement amount ({0}) differs from original ({1}). Continuing — verify this is intentional.","تنبيه: مبلغ الشيك البديل ({0}) يختلف عن مبلغ الشيك الأصلي ({1}). سيستمر التنفيذ — تأكد أن هذا مقصود."
"Notes (optional)","ملاحظات (اختياري)"
"Notes / Reason","ملاحظات / السبب"
"Notify Emails","عناوين البريد للإشعار"
"Only Bounced cheques can be replaced. Current status: {0}","لا يمكن استبدال إلا الشيكات المرتجعة. الحالة الحالية: {0}"
"Only Incoming cheques can be endorsed.","لا يمكن تظهير إلا الشيكات الواردة."
"Optional: the outgoing Payment Entry that settled a supplier with this cheque. Amounts are validated when set.","اختياري: قيد السداد الصادر الذي سُوِّي به المورد بهذا الشيك. تُراجَع المبالغ عند تعبئته."
"Outgoing #","عدد الشيكات الصادرة"
"PE Pending Submission","قيد سداد بانتظار الترحيل"
"Partial Batch Deposit","إيداع جزئي للحافظة"
"Party differs: Cheque {0} is {1}, Payment Entry {2} is {3}.","اختلاف في الطرف: الشيك {0} للطرف {1}، وقيد السداد {2} للطرف {3}."
"Pattern Example","مثال للنمط"
"Payment Entry only","قيد السداد فقط"
"Payment Entry pending submission","قيد سداد بانتظار الترحيل"
"Payment Entry {0} is cancelled — it cannot settle cheque {1}.","قيد السداد {0} ملغي — ولا يمكنه تسوية الشيك {1}."
"Person or organisation outside the company currently holding the cheque (a Link to User cannot represent them).","الشخص أو الجهة خارج الشركة الحائزة للشيك حاليًا (لا يمكن تمثيلها بربط بمستخدم)."
"Present","تقديم للتحصيل"
"Presented","مُقدَّم للتحصيل"
"Re-deposit","إعادة إيداع"
"Received Date","تاريخ الاستلام"
"Reference Date (cheque due date)","تاريخ المرجع (تاريخ استحقاق الشيك)"
"Reference No (cheque number)","رقم المرجع (رقم الشيك)"
"Reminder Days","أيام التذكير"
"Reminders","التذكيرات"
"Replace Cheque {0}","استبدال الشيك {0}"
"Replaced","مُستبدل"
"Replacement Cheque","الشيك البديل"
"Replacement Source","مصدر الشيك البديل"
"Replacement cheque must be in Draft state, not {0}.","يجب أن يكون الشيك البديل في حالة مسودة، وليس {0}."
"Replacement created: {0}","تم إنشاء الشيك البديل: {0}"
"Replacement must be from/to the same party: {0} {1}.","يجب أن يكون الشيك البديل من/إلى نفس الطرف: {0} {1}."
"Replacement must be the same cheque type ({0}).","يجب أن يكون الشيك البديل من نفس نوع الشيك ({0})."
"Replacement must reference the same {0}: {1}.","يجب أن يشير الشيك البديل إلى نفس {0}: {1}."
"Replacing","بديل عن الشيك"
"Required when bouncing a cheque; surfaced in the Bounced Cheques Register.","مطلوب عند تسجيل ارتجاع الشيك؛ ويظهر في سجل الشيكات المرتجعة."
"Reservation & Issue","الحجز والإصدار"
"Reserved By","محجوزة بواسطة"
"Reserved On","تاريخ الحجز"
"Safe Location","مكان الخزينة"
"Scan / Attachment","صورة ضوئية / مرفق"
"Select a draft cheque to link.","اختر شيك مسودة لربطه."
"Sequence Type","نوع التسلسل"
"Signature Mismatch","عدم مطابقة التوقيع"
"Start Cheque No","رقم أول شيك"
"Start and End Cheque No must be integers.","يجب أن يكون رقم أول شيك ورقم آخر شيك أعدادًا صحيحة."
"Status & Counters","الحالة والعدادات"
"Suffix","لاحقة"
"Technical","سبب فني"
"The bounced cheque this one replaces.","الشيك المرتجع الذي يحل هذا الشيك محله."
"The cheque cleared but its linked Payment Entry could not be submitted by the acting user. A ToDo was assigned to the approver.","تم تحصيل الشيك لكن لم يتمكن المستخدم المنفِّذ من ترحيل قيد السداد المرتبط به. وأُسندت مهمة إلى المعتمِد."
"The new cheque issued to replace this one (set when this cheque is Replaced).","الشيك الجديد الصادر بديلًا عن هذا الشيك (يُملأ عند استبدال هذا الشيك)."
"The number on the replacement cheque","الرقم المطبوع على الشيك البديل"
"To Holder","إلى الحائز"
"To User","إلى المستخدم"
"Total Cheques","عدد الشيكات"
"Total Leaves","إجمالي الأوراق"
"Treasury User","مستخدم الخزينة"
"Unassigned","غير مُسند"
"Unused","غير مستخدمة"
"Unused Leaves","أوراق غير مستخدمة"
"View Clearance JE","عرض قيد اليومية للتحصيل"
"View Original (Replaced)","عرض الشيك الأصلي (المُستبدل)"
"View Replacement","عرض الشيك البديل"
"Void / Cancel Reason","سبب الإتلاف / الإلغاء"
"Voided","تالفة"
"Voided Leaves","أوراق تالفة"
"You do not have permission to transition this cheque from {0} to {1}. Allowed roles: {2}.","ليست لديك صلاحية نقل هذا الشيك من {0} إلى {1}. الأدوار المسموح لها: {2}."
"{0} is an Incoming-only status.","{0} حالة خاصة بالشيكات الواردة فقط."
"{0} is an Outgoing-only status.","{0} حالة خاصة بالشيكات الصادرة فقط."
